
     1     0.5     0.5    -3.2    -1.1    -1.8    -0.5     2.3    -1.4     0.7     2.6     2.3    -0.2    -0.2    -1.6    -1.8     1.5    -2.8    10.2    53.3   108.9   112.4    86.8
     2    -1.3     2.5    -0.2     1.2    -0.6    -1.5     2.2    -1.5     1.1    -0.2     4.5     0.6     2.3     2.5    -1.1     1.7     2.0    12.6    43.5    80.3   100.7    50.0
     3    -1.5    -0.2    -0.3    -0.6    -0.9     0.7    -1.3     1.2     1.9     1.4     5.9     4.2     4.0     1.4     2.6     2.1     5.7    13.6    43.6   103.5   122.3    86.4
     4     0.4    -1.0    -2.5     0.8     0.4     1.0     0.3     0.0    -1.8     1.2     1.8     1.1     3.8     2.6     2.0     1.2     2.5     9.8    32.8    99.2    99.1    52.4
     5     0.9    -2.2    -3.3     0.0     0.2     2.2    -0.3    -1.6     0.4    -0.7    -0.3    -0.6     3.0     0.6     1.8     1.9     2.1     8.4    30.6    71.3    94.0    84.1
     6    -0.7     0.3    -1.0    -1.0     0.1    -1.5     1.2     0.2    -2.4    -1.0     4.1    -0.9     2.5     1.2     2.0     0.1     1.8    16.9    41.9    85.1   108.6    47.3
     7    -0.4    -3.5    -1.2    -2.2    -2.5    -1.6     1.1     0.4     0.2    -2.8     1.1     0.9     4.3     2.1     3.5     2.7     3.4    12.3    52.1    87.4   110.9    65.1
     8    -2.4    -2.1    -1.5    -1.2    -0.6    -1.1    -1.1    -0.6    -1.9    -1.8     1.1     3.2     3.5     3.3    -0.6     1.3     1.2    18.1    49.5    73.5    91.1    74.7
     9    -2.0    -1.9    -3.4     0.3    -0.5    -3.1    -1.0    -0.9    -0.2     3.1     3.9     1.2     2.5     1.3     1.5     0.1     2.6    14.2    51.0    86.8    80.4    99.2
    10    -2.6    -2.8    -4.4    -3.8    -1.9    -3.2    -2.7    -0.9    -2.4    -0.3     1.8    -0.5    -1.0    -0.9    -1.8    -2.3     1.8    12.4    48.8    85.4    96.9    83.9
    11    -3.0     0.4    -2.4    -3.4    -4.4    -1.6    -3.1    -1.8    -3.1    -0.4     2.2     0.7    -0.1     0.0    -3.5    -2.2    -0.2     8.2    41.3    83.3    84.6    70.8
    12    -0.6     0.7    -1.7    -1.6    -3.2    -1.0    -0.5    -1.0    -1.7     1.2     2.2     5.9     3.5     0.1    -0.4     0.5     3.5    14.5    38.7    82.5    88.4    53.7
    13    -6.7    -2.4    -0.9    -1.6     0.2     0.0     2.6    -0.6    -1.5     1.3     2.8     0.7     1.2    -1.6    -0.5     1.3     7.0    20.2    34.9    54.9    72.0    12.7
