
     1    -1.8    -0.3    -2.4    -0.5     1.2    -0.5     3.3     3.1     2.7     2.6     2.3     1.0    -2.1     1.2     4.9     9.8    11.0    17.9    10.4    10.7     2.1   -11.9
     2    -3.7    -0.2    -2.6    -1.3     1.7    -3.0    -0.1     0.6    -0.1     1.1     6.2    -0.6    -3.3    -4.9     3.9    10.5    26.7    48.3    47.1    23.1    15.7   -28.2
     3    -2.3    -3.4    -0.4     3.7     0.3     1.6     1.3     2.2    -0.7    -1.5     0.3    -0.8    -1.0     0.6     2.8    19.2    46.3    75.2    87.1    57.3    40.7   -30.3
     4    -3.7    -2.5     0.8     0.7     4.3     0.3     0.9     0.0     0.1    -0.8     2.2     1.6    -0.8     0.0    -2.2     1.2    22.0    57.7    88.8    83.6    89.2    80.6
     5    -0.8    -1.1     1.1    -0.6     2.0     4.3     1.9     2.4     3.3     0.9     2.6     1.4    -0.3     1.4     1.3     2.3     6.2    24.5    25.3    37.0    59.2    24.7
     6     0.0    -0.4     0.5     0.5     0.0     2.9     1.9     5.8     2.6     2.0     4.0     4.5     0.8     0.5     0.0     1.5     6.1    20.2    30.3     2.9    42.2    30.9
     7    -0.6    -2.2     0.8     1.5     3.2     1.0     3.8     3.0     2.7     0.5     0.5    -1.1    -0.4     1.4     0.9    -0.3     9.8    37.5    29.3    15.3    31.1    26.9
     8    -3.7    -1.3     0.8    -0.3     2.0    -1.8     1.8     0.9     0.0     1.3     1.0     3.1    -3.2    -2.6     1.6     1.9     6.5    23.5    37.3    38.1    63.1    74.2
     9    -2.4    -3.1    -0.4     1.0     1.3    -0.7    -0.3    -1.2    -1.0     0.6    -0.1     1.3     1.1     1.8     0.6     1.2     0.8    16.5    13.6     4.2    34.2    36.7
    10    -4.3    -3.4    -3.7    -0.7     2.5    -0.1     0.2     2.7     0.6     0.0     0.7    -1.8    -0.8    -0.4    -0.4     0.7     5.2    18.8    -6.6   -20.0    17.9    48.6
